"","Title","Currency","amountAwarded","awardDate","Organisation","fundingOrg","fundingDept","grantProgramme","amountRequested","orgSize"
"1124","Grant to Thames21","GBP",30000,2020-01-29,"Thames21","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",37848.6547784018,"med"
"1125","Grant to Valley Primary School PTA","GBP",30000,2020-01-29,"Valley Primary School PTA","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",44032.1709639411,"med"
"1126","Grant to London Wildlife Trust","GBP",40000,2020-01-29,"London Wildlife Trust","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",38611.534886149,"small"
"1127","Grant to Minster Nursery and Infant School","GBP",15000,2020-01-29,"Minster Nursery and Infant School","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",15881.8963426765,"med"
"1128","Grant to Friends of Foxley","GBP",11000,2020-01-29,"Friends of Foxley","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",10256.0606646979,"large"
"1129","Grant to Socco Cheta Community Hub","GBP",8595.99,2020-01-29,"Socco Cheta Community Hub","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",8925.76080855159,"large"
"1130","Grant to Zoological Society of London","GBP",18370,2020-01-29,"Zoological Society of London","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",19777.4455769451,"small"
"1131","Grant to London Borough of Enfield","GBP",40000,2020-01-29,"London Borough of Enfield","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",50332.4782937089,"large"
"1132","Grant to Metro Charity","GBP",19987.21,2020-01-29,"Metro Charity","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",22029.8727568204,"small"
"1133","Grant to London Borough of Hackney","GBP",40000,2020-01-29,"London Borough of Hackney","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",44256.5055008525,"large"
"1134","Grant to St Dominic's Catholic Primary School","GBP",20000,2020-01-29,"St Dominic's Catholic Primary School","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",28173.2576045582,"large"
"1135","Grant to Canal and Commercial Residents Association","GBP",15000,2020-01-29,"Canal and Commercial Residents Association","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",13054.2224626532,"small"
"1136","Grant to OrganicLea Community Growers","GBP",27800,2020-01-29,"OrganicLea Community Growers","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",30584.3456144343,"small"
"1137","Grant to London Borough of Haringey","GBP",20000,2020-01-29,"London Borough of Haringey","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",19686.2989259214,"med"
"1138","Grant to Lancasterian Primary School","GBP",10000,2020-01-29,"Lancasterian Primary School","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",6664.75673150064,"med"
"1139","Grant to Friends of Harmony Garden","GBP",8000,2020-01-29,"Friends Of Harmony Garden","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",6929.27505917781,"large"
"1140","Grant to Tiverton Primary School London","GBP",5250,2020-01-29,"Tiverton Primary School London","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",6550.46884307366,"large"
"1141","Grant to London Borough of Hillingdon","GBP",40000,2020-01-29,"London Borough of Hillingdon","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",59499.8756771263,"med"
"1142","Grant to London Borough of Hillingdon","GBP",29990,2020-01-29,"London Borough of Hillingdon","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",32892.1944098181,"small"
"1143","Grant to Royal Brompton & Harefield Hospitals Charity","GBP",20000,2020-01-29,"Royal Brompton & Harefield Hospitals Charity","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",25962.3411504409,"small"
"1144","Grant to London Borough of Hounslow","GBP",40000,2020-01-29,"London Borough of Hounslow","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",50266.208911767,"small"
"1145","Grant to The Orchard Project","GBP",20100,2020-01-29,"The Orchard Project","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",25484.3422570245,"large"
"1146","Grant to Islington Play Association","GBP",34000,2020-01-29,"Islington Play Association","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",48306.7989454674,"small"
"1147","Grant to Highbury Vale Blackstock Trust","GBP",27978,2020-01-29,"Highbury Vale Blackstock Trust","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",27714.3870596224,"large"
"1148","Grant to Freightliners City Farm","GBP",15755,2020-01-29,"Freightliners City Farm","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",20639.7866845046,"med"
"1149","Grant to Elizabeth Garrett Anderson School","GBP",5018,2020-01-29,"Elizabeth Garrett Anderson School","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",4919.19184871491,"med"
"1150","Grant to Loughborough Junction Action Group","GBP",36728,2020-01-29,"Loughborough Junction Action Group","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",56600.8115947245,"small"
"1151","Grant to London Borough of Lambeth","GBP",24945,2020-01-29,"London Borough of Lambeth","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",32726.3467627151,"med"
"1152","Grant to London Borough of Lambeth","GBP",11693,2020-01-29,"London Borough of Lambeth","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",18806.7116211393,"large"
"1153","Grant to Bankside Open Spaces Trust","GBP",40000,2020-01-29,"Bankside Open Spaces Trust (BOST)","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",32321.3683360763,"small"
"1154","Grant to Friends of Torridon PTA","GBP",13500,2020-01-29,"Friends of Torridon PTA","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",9364.54515547045,"large"
"1155","Grant to Lewisham Homes","GBP",5500,2020-01-29,"Lewisham Homes","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",6222.09320227075,"large"
"1156","Grant to Lewisham Homes","GBP",5000,2020-01-29,"Lewisham Homes","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",6714.46382671678,"large"
"1157","Grant to Forest Gate Community Garden","GBP",28700,2020-01-29,"Forest Gate Community Garden","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",33913.2473896252,"small"
"1158","Grant to Calverton Primary School","GBP",10270,2020-01-29,"Calverton Primary School","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",17392.3561754923,"small"
"1159","Grant to Green Hands Newham","GBP",9375,2020-01-29,"Green Hands Newham","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",9235.49052414274,"large"
"1160","Grant to London Borough of Southwark","GBP",40000,2020-01-29,"London Borough of Southwark","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",49239.2953063094,"med"
"1161","Grant to London Borough of Southwark","GBP",30000,2020-01-29,"London Borough Of Southwark","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",28620.0691946511,"large"
"1162","Grant to London Borough of Southwark","GBP",20000,2020-01-29,"London Borough of Southwark","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",33033.1299992562,"large"
"1163","Grant to Leathermarket JMB","GBP",19990,2020-01-29,"Leathermarket JMB","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",23623.0025749503,"med"
"1164","Grant to The Conservation Volunteers","GBP",7266,2020-01-29,"The Conservation Volunteers","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",9095.10171784886,"small"
"1165","Grant to Friends of Burgess Park","GBP",6564,2020-01-29,"Friends of Burgess Park","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",9848.70855839069,"med"
"1166","Grant to Cambridge House","GBP",5001,2020-01-29,"Cambridge House","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",5208.90078265245,"large"
"1167","Grant to Mudchute Association","GBP",35000,2020-01-29,"Mudchute Association","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",38620.1339959028,"large"
"1168","Grant to Lower Regents Coalition","GBP",30000,2020-01-29,"Lower Regents Coalition","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",38343.8350729069,"med"
"1169","Grant to Stepney City Farm","GBP",20000,2020-01-29,"Stepney City Farm","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",32140.4312900044,"med"
"1170","Grant to St James Big Local","GBP",20000,2020-01-29,"St James Big Local","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",19955.5718789307,"large"
"1171","Grant to OrganicLea Community Growers","GBP",9886,2020-01-29,"OrganicLea Community Growers","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",8491.8703300699,"small"
"1172","Grant to Friends of Higham Hill Park","GBP",5000,2020-01-29,"Friends of Higham Hill Park","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",4008.78962071375,"small"
"1173","Grant to Friends of Ravenstone","GBP",10814,2020-01-29,"Friends of Ravenstone","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",12725.0948559006,"small"
"1174","Grant to Patmore Co-operative Ltd","GBP",6130,2020-01-29,"Patmore Co-Operative Ltd","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",8657.95369360653,"small"
"1175","Learning Through The Arts","GBP",5000,2018-06-01,"Learning Through The Arts","Greater London Authority","Culture and Creative Industries","Culture Seeds",7557.86904724605,"large"
"1176","Grant to individual","GBP",4320,2018-06-01,"Grant to individual","Greater London Authority","Culture and Creative Industries","Culture Seeds",5415.48194102388,"large"
"1177","Congo Great Lakes Initiative","GBP",4700,2018-06-01,"Congo Great Lakes Initiative","Greater London Authority","Culture and Creative Industries","Culture Seeds",6135.33264941904,"med"
